kota_administrasi,kecamatan,kelurahan,rw,tahun,bulan,lama_genangan,tanggal_kejadian,jumlah_tempat_pengungsian,jumlah_luka_ringan,jumlah_luka_berat,ketinggian_air,jumlah_meninggal
Jakarta Timur,Jatinegara,Bidara Cina,"01 - 03, 05 - 07, 10, 11, 12, 14, 15",2013,1,130," 9, 10, 11, 16 - 25  ",950,0,0,20 - 250 ,10
Jakarta Timur,Jatinegara,Kampung Melayu, 01 - 08,2013,1,130," 9, 10, 11, 16 - 25  ",690,0,0,30 - 400 ,50
Jakarta Timur,Kramat Jati,Cawang,"01 - 06, 8, 12",2013,1,90," 9, 10, 11, 16 - 21           ",270,0,0,30 - 260,0
Jakarta Timur,Kramat Jati,Cililitan,"05, 06, 07, 15, 16",2013,1,100,"16 - 21, 23, 24, 26, 27           ",400,0,0,40 - 300 ,0
Jakarta Timur,Kramat Jati,Balekambang,"01, 02, 04, 05",2013,1,30,17 - 19                             ,170,0,0,30 - 150 ,0
Jakarta Timur,Kramat Jati,Dukuh,"03, 04, 05, 06",2013,1,30,17 - 19                             ,10,0,0,60 - 80 ,0
Jakarta Timur,Pasar Rebo,Gedong,"01, 03, 11",2013,1,30,17 - 19                             ,30,0,0,50 - 100 ,0
Jakarta Timur,Maraman,Kebon Manggis,"03, 04",2013,1,30,17 - 19                             ,60,0,0,25 - 120 ,0
Jakarta Timur,Makasar,Makasar,"04,05,07",2013,1,30,17 - 19                             ,20,0,0,50 - 100 ,0
Jakarta Timur,Makasar,Cipinang Melayu,"04,05,07",2013,1,30,17 - 19                             ,20,0,0,20 - 110 ,0
Jakarta Timur,Makasar,Halim Perdana Kusuma,"05,06,08",2013,1,30,17 - 19                             ,30,0,0,20 - 110 ,0
Jakarta Timur,Makasar,Pinang Ranti,4,2013,1,30,17 - 19                             ,0,0,0,50 - 100 ,0
Jakarta Timur,Makasar,Kebon Pala,"01, 02, 04  - 06, 08 - 12",2013,1,30,17 - 19                             ,70,0,0,10 - 100 ,0
Jakarta Timur,Duren Sawit,Pondok Bambu,"04, 06, 07, 09, 10",2013,1,30,17 - 19                             ,0,0,0,30 - 90 ,0
Jakarta Timur,Duren Sawit,Malaka Jaya,1,2013,1,30,17 - 19                             ,0,0,0,30 - 40 ,0
Jakarta Timur,Duren Sawit,Pondok Kelapa,"04, 07, 09",2013,1,30,17 - 19                             ,0,0,0,30 - 40 ,0
Jakarta Timur,Duren Sawit,Duren Sawit,11,2013,1,30,17 - 19                             ,0,0,0,30 - 40 ,0
Jakarta Timur,Cakung,Jatinegara,8,2013,1,30,17 - 19                             ,0,0,0,20 - 80 ,0
Jakarta Timur,Cakung,Rawa Terate,"04, 05, 06",2013,1,30,17 - 19                             ,70,0,0,60 - 120 ,0
Jakarta Timur,Cakung,Cakung Timur,"02, 05, 06, 10",2013,1,30,17 - 19                             ,0,0,0,40 - 80 ,0
Jakarta Timur,Cakung,Penggilingan,9,2013,1,30,17 - 19                             ,0,0,0,50 - 100 ,0
Jakarta Timur,Ciracas,Rambutan,"02, 03, 06",2013,1,30,17 - 19                             ,60,0,0,50 - 80 ,0
Jakarta Timur,Cipayung,Bambu Apus,6,2013,1,30,17 - 19                             ,0,0,0,50,0
Jakarta Timur,Cipayung,Setu,4,2013,1,30,17 - 19                             ,0,0,0,50,10
Jakarta Selatan,Tebet,Bukit Duri,"09, 10, 11, 12",2013,1,120,"9 - 11, 16 - 21 ,23, 24, 25",360,0,0,10 - 300 ,0
Jakarta Selatan,Tebet,Kebon Baru,10,2013,1,60,"10, 11, 16, 17, 18, 19 ",90,0,0,20 - 300 ,20
Jakarta Selatan,Tebet,Manggarai,"01, 04, 10",2013,1,30,17 - 19,0,0,0,40 - 180 ,0
Jakarta Selatan,Cilandak,Pondok Labu,"01, 03, 07, 08, 10",2013,1,80,"09 - 11, 13, 16 - 19 ",40,0,0,30 - 150 ,0
Jakarta Selatan,Cilandak,Cilandak Barat,4,2013,1,30,17 - 19,0,0,0,150,0
Jakarta Selatan,Pasar Minggu,Pejaten Timur,"01, 03, 05 - 08, 11 - 13, 16, 17",2013,1,60,"10, 11, 16, 17, 18, 19 ",40,0,0,0 - 150 ,0
Jakarta Selatan,Pasar Minggu,Cilandak Timur,"07, 08, 09",2013,1,40,"16, 17, 18, 19 ",0,0,0,30,0
Jakarta Selatan,Kebayoran Baru,Petogogan,"01, 02, 03",2013,1,70,"10, 11, 15 - 19   ",0,0,0,20 - 100 ,10
Jakarta Selatan,Pancoran,Rawajati,"01, 03, 06, 07",2013,1,120,"10, 11, 16 - 25",170,0,0,10 - 160 ,0
Jakarta Selatan,Pancoran,Pengadegan,"01, 02",2013,1,120,"10, 11, 17 - 21, 25 - 29 ",130,0,0,10 - 200 ,0
Jakarta Selatan,Pancoran,Kalibata,5,2013,1,30,"17, 18, 19  ",0,0,0,50,10
